country,week,Date,Close,Volume
USA,1,01-01-2020,9068.580078,10556740000
USA,2,08-01-2020,9251.330078,12450220000
USA,3,15-01-2020,9370.80957,9944260000
USA,4,22-01-2020,9269.679688,12262310000
USA,5,29-01-2020,9467.969727,12108750000
USA,6,05-02-2020,9638.94043,11571420000
USA,7,12-02-2020,9732.740234,9089970000
USA,8,19-02-2020,8965.610352,14701550000
USA,9,26-02-2020,8684.089844,21974540000
USA,10,04-03-2020,8344.25,20593090000
USA,11,11-03-2020,7334.779785,23520670000
USA,12,18-03-2020,7417.859863,23640920000
USA,13,25-03-2020,7700.100098,20549900000
USA,14,01-04-2020,7887.259766,18491310000
USA,15,08-04-2020,8153.580078,7594400000
USA,16,09-04-2020,8153.575195,3506531634
China,1,01-01-2020,3104.802002,1143200
China,2,08-01-2020,3106.820068,1192300
China,3,15-01-2020,3052.139893,1041300
China,4,22-01-2020,2976.528076,496700
China,5,29-01-2020,2783.288086,579900
China,6,05-02-2020,2901.669922,1499800
China,7,12-02-2020,2984.971924,1399100
China,8,19-02-2020,3013.050049,1837400
China,9,26-02-2020,2992.896973,1529100
China,10,04-03-2020,2996.761963,1968700
China,11,11-03-2020,2779.641113,1684800
China,12,18-03-2020,2722.437988,1352300
China,13,25-03-2020,2750.295898,1206300
China,14,01-04-2020,2820.762939,906200
China,15,08-04-2020,2796.631104,715200
India,1,01-01-2020,40869.46875,34800
India,2,08-01-2020,41952.62891,63900
India,3,15-01-2020,41323.80859,38600
India,4,22-01-2020,40966.85938,41000
India,5,29-01-2020,40789.37891,51900
India,6,05-02-2020,41216.14063,67100
India,7,12-02-2020,40894.37891,47700
India,8,19-02-2020,40281.19922,29400
India,9,26-02-2020,38623.69922,55300
India,10,04-03-2020,35634.94922,66600
India,11,11-03-2020,30579.08984,125300
India,12,18-03-2020,26674.0293,143100
India,13,25-03-2020,29468.49023,343000
India,14,01-04-2020,30067.21094,58800
India,15,08-04-2020,31159.61914,43500
India,16,09-04-2020,31159.61914,0
Japan,1,01-01-2020,23575.7207,137100
Japan,2,08-01-2020,24025.16992,261700
Japan,3,15-01-2020,23864.56055,254900
Japan,4,22-01-2020,23215.71094,280000
Japan,5,29-01-2020,23084.58984,340300
Japan,6,05-02-2020,23685.98047,287300
Japan,7,12-02-2020,23193.80078,321700
Japan,8,19-02-2020,22605.41016,292800
Japan,9,26-02-2020,21082.73047,583000
Japan,10,04-03-2020,19867.11914,627000
Japan,11,11-03-2020,17011.5293,884100
Japan,12,18-03-2020,18092.34961,693700
Japan,13,25-03-2020,18917.00977,667900
Japan,14,01-04-2020,18950.17969,523000
Japan,15,08-04-2020,19498.5,275700
Japan,16,10-04-2020,19498.5,0
Hong Kong,1,01-01-2020,28322.06055,6156751400
Hong Kong,2,08-01-2020,28885.14063,8258989200
Hong Kong,3,15-01-2020,27985.33008,8276035300
Hong Kong,4,22-01-2020,27949.64063,3708679800
Hong Kong,5,29-01-2020,26675.98047,11223379900
Hong Kong,6,05-02-2020,27583.88086,9693622700
Hong Kong,7,12-02-2020,27530.19922,7864127900
Hong Kong,8,19-02-2020,26893.23047,8795924500
Hong Kong,9,26-02-2020,26284.82031,9639626500
Hong Kong,10,04-03-2020,25392.50977,15029978400
Hong Kong,11,11-03-2020,23263.73047,19576712700
Hong Kong,12,18-03-2020,22663.49023,17987805800
Hong Kong,13,25-03-2020,23603.48047,13754319800
Hong Kong,14,01-04-2020,24253.28906,11680616800
Hong Kong,15,08-04-2020,23970.36914,1840854100
Hong Kong,16,09-04-2020,24300.33008,0
Australia,1,01-01-2020,6826.399902,1587300
Australia,2,08-01-2020,6962.200195,2496600
Australia,3,15-01-2020,7066.299805,2526200
Australia,4,22-01-2020,7023.5,2361300
Australia,5,29-01-2020,6948.700195,3248300
Australia,6,05-02-2020,7055.299805,3190000
Australia,7,12-02-2020,7113.700195,3250900
Australia,8,19-02-2020,6866.600098,4609700
Australia,9,26-02-2020,6435.700195,5782400
Australia,10,04-03-2020,5939.600098,6220700
Australia,11,11-03-2020,5293.399902,9123200
Australia,12,18-03-2020,4735.700195,8417500
Australia,13,25-03-2020,5076.799805,6585400
Australia,14,01-04-2020,5252.299805,5182800
Australia,15,08-04-2020,5387.299805,2072600
Australia,16,09-04-2020,5387.299805,0
Taiwan,1,01-01-2020,11880.32031,9280300
Taiwan,2,08-01-2020,12179.80957,10882300
Taiwan,3,15-01-2020,12118.70996,8097600
Taiwan,4,22-01-2020,null,null
Taiwan,5,29-01-2020,11555.91992,14251300
Taiwan,6,05-02-2020,11664.04004,11286200
Taiwan,7,12-02-2020,11648.98047,9669800
Taiwan,8,19-02-2020,11540.23047,10662600
Taiwan,9,26-02-2020,11327.71973,9137000
Taiwan,10,04-03-2020,11003.54004,14496300
Taiwan,11,11-03-2020,9439.629883,21842800
Taiwan,12,18-03-2020,9285.620117,17434100
Taiwan,13,25-03-2020,9708.05957,14866500
Taiwan,14,01-04-2020,9996.389648,8627100
Taiwan,15,08-04-2020,10157.61035,8540900
Indonesia,1,01-01-2020,6279.346191,158531900
Indonesia,2,08-01-2020,6325.405762,227175700
Indonesia,3,15-01-2020,6238.152832,211553200
Indonesia,4,22-01-2020,6111.184082,174886200
Indonesia,5,29-01-2020,5922.338867,147282700
Indonesia,6,05-02-2020,5954.396973,109373700
Indonesia,7,12-02-2020,5886.961914,153524900
Indonesia,8,19-02-2020,5787.138184,188075500
Indonesia,9,26-02-2020,5518.62793,213676100
Indonesia,10,04-03-2020,5220.826172,205603600
Indonesia,11,11-03-2020,4456.749023,191065700
Indonesia,12,18-03-2020,3937.63208,206293300
Indonesia,13,25-03-2020,4538.930176,229930000
Indonesia,14,01-04-2020,4778.63916,303221500
Indonesia,15,08-04-2020,4649.079102,99080800
Indonesia,16,09-04-2020,4649.079102,0
South Korea,1,01-01-2020,2175.540039,2287200
South Korea,2,08-01-2020,2238.879883,3425100
South Korea,3,15-01-2020,2239.689941,3451100
South Korea,4,22-01-2020,2176.719971,1926600
South Korea,5,29-01-2020,2157.899902,3466800
South Korea,6,05-02-2020,2223.120117,3205200
South Korea,7,12-02-2020,2208.879883,2797000
South Korea,8,19-02-2020,2103.610107,4450100
South Korea,9,26-02-2020,2014.150024,3188800
South Korea,10,04-03-2020,1962.930054,3452600
South Korea,11,11-03-2020,1672.439941,3897100
South Korea,12,18-03-2020,1609.969971,3849200
South Korea,13,25-03-2020,1754.640015,4748100
South Korea,14,01-04-2020,1823.599976,5180800
South Korea,15,08-04-2020,1860.699951,2820600
South Korea,16,10-04-2020,1860.699951,992548
Belgium,1,01-01-2020,3984.72998,68329900
Belgium,2,08-01-2020,3990.629883,92426200
Belgium,3,15-01-2020,4018.850098,84224300
Belgium,4,22-01-2020,3956.110107,108556700
Belgium,5,29-01-2020,4039.919922,105553600
Belgium,6,05-02-2020,4152.299805,123659100
Belgium,7,12-02-2020,4164.5,96905900
Belgium,8,19-02-2020,3828.399902,192173700
Belgium,9,26-02-2020,3575.129883,278217700
Belgium,10,04-03-2020,3155.600098,163594900
Belgium,11,11-03-2020,2528.77002,170705900
Belgium,12,18-03-2020,2867.590088,385189800
Belgium,13,25-03-2020,2901.580078,273382900
Belgium,14,01-04-2020,3033.570068,251427400
Belgium,15,08-04-2020,3055.320068,34297900
Belgium,16,09-04-2020,3092.389893,0
Russia,1,01-01-2020,3078.870117,0
Russia,2,08-01-2020,3129.77002,0
Russia,3,15-01-2020,3209.219971,0
Russia,4,22-01-2020,3113.100098,0
Russia,5,29-01-2020,3097.600098,0
Russia,6,05-02-2020,3097.580078,0
Russia,7,12-02-2020,3074.050049,0
Russia,8,19-02-2020,3002.679932,0
Russia,9,26-02-2020,2821.370117,0
Russia,10,04-03-2020,2498.939941,0
Russia,11,11-03-2020,2224.73999,0
Russia,12,18-03-2020,2415.969971,0
Russia,13,25-03-2020,2508.810059,0
Russia,14,01-04-2020,2634.73999,0
Russia,15,08-04-2020,2677.860107,0
Brazil,1,01-01-2020,116662,23421300
Brazil,2,08-01-2020,117632,27694200
Brazil,3,15-01-2020,117026,24868400
Brazil,4,22-01-2020,116479,28444000
Brazil,5,29-01-2020,115557,28974900
Brazil,6,05-02-2020,115371,35404500
Brazil,7,12-02-2020,114977,24679200
Brazil,8,19-02-2020,113681,19023300
Brazil,9,26-02-2020,105537,50079900
Brazil,10,04-03-2020,92214,57050500
Brazil,11,11-03-2020,74617,67355600
Brazil,12,18-03-2020,69729,71690700
Brazil,13,25-03-2020,73020,56184200
Brazil,14,01-04-2020,76358,52016900
Brazil,15,08-04-2020,77682,20955000
Brazil,16,09-04-2020,77681.9375,0
Mexico,1,01-01-2020,44157.80859,423139600
Mexico,2,08-01-2020,44773.23828,775882000
Mexico,3,15-01-2020,45637.32031,710964400
Mexico,4,22-01-2020,44717.94141,752944500
Mexico,5,29-01-2020,45047.07031,869943800
Mexico,6,05-02-2020,45027.41016,689945200
Mexico,7,12-02-2020,44974.10938,745278600
Mexico,8,19-02-2020,43045.67969,844845500
Mexico,9,26-02-2020,42472.25,1347787500
Mexico,10,04-03-2020,39565.44141,934995200
Mexico,11,11-03-2020,36862.83984,1362733500
Mexico,12,18-03-2020,34371.53125,1662574700
Mexico,13,25-03-2020,34554.53125,1247657700
Mexico,14,01-04-2020,34526.30859,958614300
Mexico,15,08-04-2020,34567.78125,173301800
Mexico,16,08-04-2020,34567.78125,173301787
