country,week,Close
USA,1,100.0
USA,2,102.01519971625265
USA,3,103.33271018616459
USA,4,102.21754241866219
USA,5,104.40410346013155
USA,6,106.28941187147556
USA,7,107.32375024852264
USA,8,98.86454411700238
USA,9,95.76019365002071
USA,10,92.01275092936329
USA,11,80.88123743643033
USA,12,81.79736848765795
USA,13,84.90965544517961
USA,14,86.97348094366134
USA,15,89.91021756294845
USA,16,89.91016371769419
China,1,99.99999999999999
China,2,100.06499821884616
China,3,98.30384968297248
China,4,95.86853120046398
China,5,89.64462417272044
China,6,93.45748682624046
China,7,96.14049211760332
China,8,97.044837225018
China,9,96.39574346680031
China,10,96.52022773334969
China,11,89.52716183542321
China,12,87.68475368948825
China,13,88.58200607408651
China,14,90.85162072115929
China,15,90.07437840475858
India,1,100.0
India,2,102.65029175354769
India,3,101.11168521122507
India,4,100.23829678480956
India,5,99.80403503532206
India,6,100.84824170854925
India,7,100.06095053535532
India,8,98.56061370995923
India,9,94.50501903086274
India,10,87.19210283348741
India,11,74.82135387433925
India,12,65.26639595725109
India,13,72.10392288253074
India,14,73.5688812691014
India,15,76.24180125903888
India,16,76.24180125903888
Japan,1,100.0
Japan,2,101.90640712841495
Japan,3,101.22515809240986
Japan,4,98.47296392512827
Japan,5,97.91679386496973
Japan,6,100.46768356057083
Japan,7,98.38002865380061
Japan,8,95.88428047503972
Japan,9,89.42560330721935
Japan,10,84.26940322549714
Japan,11,72.1569852157266
Japan,12,76.74144871422743
Japan,13,80.23937003122029
Japan,14,80.38006528470622
Japan,15,82.70584915777357
Japan,16,82.70584915777357
Hong Kong,1,100.0
Hong Kong,2,101.98813246305274
Hong Kong,3,98.81106648506194
Hong Kong,4,98.68505358449282
Hong Kong,5,94.18799321788752
Hong Kong,6,97.39362293680288
Hong Kong,7,97.20408291408727
Hong Kong,8,94.95506311245423
Hong Kong,9,92.8068784529168
Hong Kong,10,89.6562936343274
Hong Kong,11,82.13996445961274
Hong Kong,12,80.02062628878888
Hong Kong,13,83.33955938103522
Hong Kong,14,85.63391430218519
Hong Kong,15,84.63497596752366
Hong Kong,16,85.8000075139307
Australia,1,100.0
Australia,2,101.98933984163767
Australia,3,103.5142960629909
Australia,4,102.8873212942338
Australia,5,101.79157820748487
Australia,6,103.35315695368121
Australia,7,104.20866484713015
Australia,8,100.58889307068318
Australia,9,94.27663610967866
Australia,10,87.00926085885791
Australia,11,77.54306776620484
Australia,12,69.37331921636374
Australia,13,74.3700907928438
Australia,14,76.94099203683014
Australia,15,78.91860837835809
Australia,16,78.91860837835809
Taiwan,1,100.0
Taiwan,2,102.52088539858569
Taiwan,3,102.00659278352404
Taiwan,4,
Taiwan,5,97.26943060847492
Taiwan,6,98.17950809105753
Taiwan,7,98.0527474515542
Taiwan,8,97.13736809171941
Taiwan,9,95.34860537779558
Taiwan,10,92.61989368029084
Taiwan,11,79.45602169542852
Taiwan,12,78.15967814591693
Taiwan,13,81.71546992574311
Taiwan,14,84.1424253484627
Taiwan,15,85.4994653759466
Indonesia,1,100.00000000000001
Indonesia,2,100.73350902464998
Indonesia,3,99.34398649561571
Indonesia,4,97.32198060299619
Indonesia,5,94.31457809235478
Indonesia,6,94.8251106386563
Indonesia,7,93.75119216133692
Indonesia,8,92.1614768157636
Indonesia,9,87.88539064639698
Indonesia,10,83.14283068964815
Indonesia,11,70.9747302894006
Indonesia,12,62.70767624890137
Indonesia,13,72.28348362932296
Indonesia,14,76.10090309798623
Indonesia,15,74.03763004281222
Indonesia,16,74.03763004281222
South Korea,1,100.0
South Korea,2,102.91145383971487
South Korea,3,102.94868864052196
South Korea,4,100.05423628059461
South Korea,5,99.18916054479473
South Korea,6,102.18704676296699
South Korea,7,101.53248588407155
South Korea,8,96.69369762401325
South Korea,9,92.5816113651402
South Korea,10,90.22725478783983
South Korea,11,76.87470287923301
South Korea,12,74.00323331856639
South Korea,13,80.65307847914997
South Korea,14,83.8228643605304
South Korea,15,85.52818691653599
South Korea,16,85.52818691653599
Belgium,1,100.0
Belgium,2,100.14806280550032
Belgium,3,100.8562717717701
Belgium,4,99.28176129515306
Belgium,5,101.38503593159405
Belgium,6,104.20529937639589
Belgium,7,104.51147307100594
Belgium,8,96.07677110407367
Belgium,9,89.72075651158677
Belgium,10,79.19231952575116
Belgium,11,63.46151515139804
Belgium,12,71.96447695058124
Belgium,13,72.81748305565237
Belgium,14,76.12987788949253
Belgium,15,76.67571161245912
Belgium,16,77.60600865105546
Russia,1,100.0
Russia,2,101.65320072188025
Russia,3,104.2336912258907
Russia,4,101.11177086720868
Russia,5,100.6083394325919
Russia,6,100.60768919405507
Russia,7,99.84344685495545
Russia,8,97.52538489430536
Russia,9,91.63654229588276
Russia,10,81.16418835604944
Russia,11,72.2583254719348
Russia,12,78.4693695801004
Russia,13,81.48476433440922
Russia,14,85.57489890373313
Russia,15,86.9754164754849
Brazil,1,100.0
Brazil,2,100.83146182990177
Brazil,3,100.31201248049922
Brazil,4,99.84313658260616
Brazil,5,99.05281925562737
Brazil,6,98.89338430680084
Brazil,7,98.55565651197476
Brazil,8,97.44475493305447
Brazil,9,90.46390427045654
Brazil,10,79.04373317789855
Brazil,11,63.95998697090741
Brazil,12,59.770105089917884
Brazil,13,62.591075071574295
Brazil,14,65.45233237900945
Brazil,15,66.58723491796815
Brazil,16,66.58718134439663
Mexico,1,100.0
Mexico,2,101.39370523504503
Mexico,3,103.35050983561501
Mexico,4,101.26847965939787
Mexico,5,102.0138266557942
Mexico,6,101.9693041791864
Mexico,7,101.84859895919939
Mexico,8,97.48146718437505
Mexico,9,96.18287536492082
Mexico,10,89.6001017110256
Mexico,11,83.4797763228404
Mexico,12,77.83794610175423
Mexico,13,78.25236884111418
Mexico,14,78.18845566040804
Mexico,15,78.28237485912794
Mexico,16,78.28237485912794
